episode,run_0,run_1,run_2,run_3
270,-58.8536865166048,-63.96411195222014,-64.3068216392403,-75.69207314778328
271,-75.07345881075432,-38.00444088486568,-69.73026947066427,-56.27292328907618
272,-72.67783163591734,-48.32626686043322,-103.80877236556108,-64.60365294328442
273,-65.67288903263001,-69.15692270870062,-63.39983639756037,-33.62412465971756
274,-59.15395960196213,-68.8043417138724,-44.66060791631287,-45.946813447184596
275,-168.78058999969957,-35.34039093831164,-64.45284862111954,-74.82120898684897
276,-65.4033294611192,-39.88766474612712,-63.74540788727202,-62.1783335308922
277,-70.65267073072553,-148.57940918103867,-39.229680581740624,-38.19386595741547
278,-42.85965564059521,-110.43930635328964,-41.11393921251123,-68.11121679519118
279,-64.95048704117792,-75.89352115056514,-73.89574801652378,-38.73085389043911
280,-87.48681836293649,-63.11339113843996,-83.51044954012627,-61.93514680745298
281,-69.8017455215804,-93.89650251925298,-45.55928328308915,-70.4520176455932
282,-60.8894771165562,-74.59223027800331,-62.03565777976258,-63.013208994677576
283,-38.71338589529148,-159.23219701810297,-48.4042722399485,-63.09529237868616
284,-66.06131171280244,-40.13832800495901,-41.603397395925086,-68.36666854681468
285,-62.219369472038565,-39.17475235985504,-60.02041489991487,-61.48151024721854
286,-70.45564432629274,-37.69436102745096,-72.76533619304878,-196.80847588744197
287,-57.39511738503401,-146.52652254968575,-70.70064188869442,-82.16013861505034
288,-60.01181932475132,-49.92989618035441,-65.3909474288896,-104.75335716121475
289,-52.654134170182544,-62.615063106268245,-96.1186407077478,-75.56876087073817
290,-55.52494303447277,-65.87354877878079,-63.316128655070685,-62.709932352966064
291,-58.765045735463474,-60.757037562073016,-65.60250161015345,-40.47470469273793
292,-34.199642589112976,-62.11170688092616,-20.886188881120724,-64.37379544232655
293,-66.50220461426488,-89.99151042278805,-39.149056929976624,-37.4087349688669
294,-38.43248245243477,-74.66294611342104,-52.51753579692445,-106.36491861760068
295,-47.38772590069257,-95.94734172745146,-71.16671961372946,-39.29108110876632
296,-114.89792691059712,-36.44530600586718,-35.10214340154141,-52.41453569725396
297,-67.59433202328314,-63.00764688862776,-42.389771302255646,-73.44364107218786
298,-52.21615100408707,-61.2112351465207,-64.51111097446511,-199.51750159858332
299,-63.29022282607265,-45.44386064094249,-38.4503908817368,-69.99053389742802
300,-45.58513979984539,-89.23767232715008,-94.25554098396164,-65.77358500630484
301,-63.4126556206741,-18.949984961079466,-46.72292604089458,-68.83406450068068
302,-75.8651436074835,-35.09120210611805,-106.80623996276265,-33.27822997512461
303,-66.26336618577758,-63.34808908468422,-67.93974877479452,-63.41934570034876
304,-55.22855344314976,-72.00412492939338,-16.881185768390996,-60.33018073099586
305,-72.83092328736207,-63.23955190086185,-91.57851144462592,-51.01590084247121
306,-62.9336720521831,-64.60397439904757,-101.0084718890384,-59.95081666740799
307,-42.1320050473052,-39.00945798504847,-113.26503198966144,-34.23378360033345
308,-62.369148548558286,-36.8447380440592,-64.86104717988081,-68.43139767509462
309,-64.13208266170426,-107.14571868053154,-48.23447026486316,-41.77675890597557
310,-52.80229585472748,-37.01821201751989,-64.79937035837091,-61.562992671871235
311,-34.23730081585133,-36.74563935580592,-67.16252557320426,-34.61072805164692
312,-48.55142817820229,-37.848469820735744,-124.16370282087716,-76.1307284249756
313,-36.07077155446589,-36.75110350210589,-80.65966406042492,-92.01586976695751
314,-64.48003007167114,-37.814868133760726,-43.00626863088248,-117.03536114252384
315,-139.41358640791373,-66.57053229204391,-33.67716731026319,-55.06052093119116
316,-64.57705765623376,-111.08017958470924,-45.21426719311524,-62.5157581588814
317,-64.69620768946012,-177.70719602864264,-99.84893286494088,-61.4661860461605
318,-61.465086163910215,-65.73455522292983,-62.48410167896103,-62.165464102963966
319,-62.38365381610723,-46.36283178799866,-66.36027135787737,-12.96128801184122
320,-43.76320153911154,-40.850810603380815,-37.17809936506545,-70.41493103676646
321,-52.12083747565147,-74.37112334631361,-61.27960054920117,-77.0756056593628
322,-34.46684970490735,-45.46625738429405,-44.97276131713398,-62.07549446253675
323,-64.34620684177906,-39.97965293121601,-87.07170564189846,-62.20406764200039
324,-68.69797549997165,-63.7910644874661,-66.91462867938512,-61.21299647488944
325,-58.9342853834582,-64.16456550692429,-35.99409903447568,-81.1136760973196
326,-12.580101595350111,-68.68730181930032,-60.81056991200579,-63.29774858284656
327,-80.77746740709566,-66.0270887840895,-39.17772949296683,-36.90067889703532
328,-61.36851482924389,-66.05952127919166,-75.61427390617658,-47.91470768049202
329,-82.96118803846628,-67.07173362322315,-59.60247362896301,-73.67620416571275
330,-39.02361221927864,-62.386043583842735,-72.44077186880202,-64.25648002343533
331,-73.77676168941102,-37.448298762854776,-69.77198246632854,-64.90016555697716
332,-72.16601702470265,-36.8586499607785,-13.043063990546807,-73.1482800879165
333,-63.67595117007222,-74.88131144420223,-20.183748677785267,-74.47857589224711
334,-62.2091112325825,-37.85942250527648,-66.84067783686501,-39.750227029891285
335,-63.06019690854434,-73.82891410163819,-59.925608349355805,-39.08365315667014
336,-67.46245973792568,-66.30790046704269,-67.6998829709336,-85.48337834371404
337,-65.08873874129213,-37.17401841495442,-54.90401381746522,-155.98851163109126
338,-44.083251044719965,-61.60303338979829,-35.597430030855,-104.79948072493846
339,-81.33286532409501,-234.51214696575093,-33.49384628090424,-31.285203879137878
340,-63.35222193782364,-35.2272936015364,-71.72661597208665,-64.7095146186644
341,-48.77602745346039,-59.48636779542805,-39.42623790363911,-38.56033571940499
