episode,run_0,run_1,run_2,run_3,run_4
81,-146.0749469137118,-168.05507771201724,-140.05644621366503,-146.97591950727224,-148.63052242586986
82,-141.65758687945691,-181.5985419059454,-155.6942947374791,-122.1722424044769,-132.12505925187418
83,-133.81420138057865,-200.39955414298709,-124.1311426572657,-185.9943849435466,-271.50552519049546
84,-127.92456529999366,-19.37308274538728,-152.1023311569614,-138.5828452843123,-141.70759704434067
85,-135.6401378265373,-174.06942086588157,-161.382531988942,-141.64579380484884,-172.07556827240035
86,-134.46966887556397,-174.64560193856028,-115.42651759173636,-29.75191051229028,-118.64016341780514
87,-143.4969343919416,-129.5054827703293,-178.44033740114145,-298.37521215092937,-131.9800468215919
88,-235.1608398591277,-41.86669661454005,-116.6994954333604,-116.64824602648802,-21.925913587026724
89,-117.28985076888864,-141.4139064703608,-202.47182509221125,-136.33773849482077,-188.2205250680321
90,-178.85019720869852,-312.93602424723656,-165.9107997633981,-194.82929017944295,-17.014434821319195
91,-150.32395591286596,-135.84056314173824,-165.295504911428,-136.7972012458809,-165.5211798703566
92,-173.27500949215204,-178.20166988984647,-9.966669849238045,-157.9160398515226,-122.03288746990407
93,-143.19086870344748,-139.6733388474462,-170.4939178904253,-135.76985627220998,-154.6450055572388
94,-116.93635967288628,-262.7106967472498,-115.92675082268777,-43.516304370186695,-137.4170543126483
95,-17.17347100752993,-136.79637189888615,-195.87223435528463,-112.27292258905912,-183.48793458958966
96,-172.84327078447356,-116.4458859265356,-142.6001568782147,-178.02768135452524,-134.26356726434645
97,-117.9207578016792,-176.0318850853924,-148.76833563074285,-147.0315321342278,-162.77348884605738
98,-215.9447018111622,-115.24571880571368,-140.6151164321125,-177.9457296191007,-23.24205712230554
99,-204.32233892120485,-148.97414631423044,-10.975318913295776,-154.9586133493993,-191.76787687139586
100,-117.86108108069728,-14.211718000988,-113.8790983851327,-123.75442504107096,-117.71224426680507
101,-129.19261667516213,-16.781855384068866,-135.4917594193771,-182.9791105642115,-127.9966277698647
102,-162.09107568651066,-9.690609546265144,-96.90597513605243,-155.1193420453097,-269.305358325532
103,-125.90609899391788,-138.94306662542542,-205.71285323724368,-148.06759301748053,-301.33736418882836
104,-114.05221898097426,-152.10100217763974,-140.3411058582932,-128.4276209725981,-176.1074947993652
105,-8.190096332640563,-116.4733580217778,-165.240400185335,-159.51823123247496,-134.12569839181356
106,-118.86800261911416,-19.508717432004104,-120.28878607235389,-141.19260611723385,-182.94541067057318
107,-213.91922870043493,-176.28530174283216,-205.18654169314607,-151.95098609197706,-29.178518409532366
108,-157.38540042750256,-134.55349507111555,-120.52614119482033,-129.9798234497304,-142.07961938604174
109,-118.95344699300988,-116.24831166737208,-172.17302903558402,-124.68650210425206,-127.53559512105996
110,-27.46866914592592,-19.860717534017816,-125.87167391243445,-117.78277048698276,-146.15490687095877
111,-34.67371402064816,-168.4873184275479,-115.97308029181796,-111.47020541295326,-206.12110939975685
112,-151.29849190442607,-144.24567532998148,-188.5474481086489,-140.39542039555533,-130.50242698435605
113,-139.09604852311045,-130.22858150283017,-131.66418844405456,-18.41200742037521,-169.69747840535223
114,-204.73377381397185,-140.5418765677426,-270.7236384232972,-139.72833584341342,-124.6990830682773
115,-138.1188701109969,-145.34853071217697,-121.6309021489,-119.30901189969988,-26.390574554909918
116,-150.58736008222198,-130.53198889379678,-25.058704036630548,-210.7789172968644,-156.83208787943678
117,-135.28206255142504,-209.0623068162909,-165.83312578002344,-142.73051535168497,-144.86116612624554
118,-183.6829320762348,-165.3633747364678,-148.55464138673543,-137.78927586942254,-134.90923148855637
119,-10.446558247230689,-129.3993636081574,-19.821638314760868,-128.62652818038364,-143.01102891697462
120,-117.28778941993328,-140.4001138533517,-140.23303674381864,-205.45440656135008,-148.76399911016378
121,-161.67532749460662,-28.145522978216125,-184.61297010567145,-141.51699755060537,-140.7378707548589
122,-133.11973756701883,-143.06358754155715,-114.6940732948828,-145.02711933148748,-144.41649547971048
123,-187.2421530881444,-141.4133539401421,-116.23058473795037,-159.216898046936,-118.33315718690771
124,-143.99361396101455,-151.47660874310256,-25.272972697563503,-135.6813408801478,-190.70794044534762
125,-139.24639073516136,-182.74843070910688,-271.6722902777203,-125.84241779373616,-123.70226987845177
126,-158.26796647438903,-155.3767389255057,-161.93238056605716,-268.9186605304982,-14.559269952369446
127,-157.02375277646513,-121.80626579554472,-144.42051986340442,-207.3127626454799,-160.59119682501125
128,-125.8144544785878,-135.77778393864077,-184.2322903198149,-182.89957354345327,-219.37116524405695
129,-182.4093699243413,-30.71254179500632,-127.43648630644265,-147.7983442787903,-173.44183888968894
130,-11.550384051786295,-143.46146036355418,-21.626252964677253,-136.1776650111031,-215.08166947777278
131,-123.03397086836976,-17.919093053727682,-119.77531804501776,-152.44477848392108,-118.86207971162348
132,-145.08116855868323,-272.8557653470531,-45.27418347517912,-170.0698145720874,-165.61007349931884
133,-149.14494529192214,-138.63023325087892,-133.75503018522258,-157.1340030229379,-134.15993188259387
134,-179.5934489960959,-12.062802366114196,-172.58638384578217,-176.81326059734872,-142.97216120663654
135,-187.69635325677683,-112.47184137826828,-115.89068593872712,-134.6372446753063,-124.28524299128176
136,-145.9703873159952,-28.031974409943388,-225.4751033193898,-151.87039294169367,-151.69609204290126
137,-124.63109265364706,-141.5897283659924,-145.57953607424983,-184.8540086845876,-116.46488224211896
138,-151.65880124558095,-113.48103620298303,-158.95895303944866,-146.59004771038445,-153.3520312503075
139,-144.6195332991118,-131.08875074033617,-163.06515126877264,-142.0501126366152,-182.10811281092617
140,-116.64824605332944,-157.57452688295982,-196.719458677461,-117.8583521148052,-21.319567708202186
141,-197.5308344515686,-137.07238834120366,-162.9344047526252,-138.52399782883816,-148.7653530467864
142,-181.2310722124663,-194.36990716320287,-131.3943010045356,-143.0085026920526,-134.53838105751944
143,-22.887119583959706,-127.36868692184235,-202.47437030240627,-159.96279683569912,-133.6299135730722
144,-168.380341410002,-157.47985439011782,-157.6849603011243,-137.5432521171379,-162.39350733970997
145,-130.35061237006866,-148.15165920978717,-148.18897839244812,-132.27702463917365,-158.26122092060098
146,-142.43919439291102,-17.065738096129174,-129.12841111750652,-172.36585705175008,-190.98884937355234
147,-170.6168904466425,-175.93460389905056,-134.2536982678687,-129.2803624750816,-13.751135850996997
148,-170.39741661013213,-119.8232847526752,-159.13610720200526,-141.33891009951088,-181.94245152527435
149,-131.2948903941979,-184.01237758654463,-115.17589833745023,-166.71558900873362,-134.56104669113336
150,-117.7439505076855,-36.4414445135985,-122.68644941733224,-120.54935641505844,-154.4247791754321
151,-147.1928972836842,-136.08297885833016,-145.9241915323056,-120.41306690594637,-170.4741723089833
152,-116.5019923004336,-146.4155963952275,-149.3581378514025,-33.09266517224025,-165.89552051486055
153,-164.636345686928,-134.74941387609692,-145.44209266548592,-221.1878604465305,-121.67760349285953
154,-137.7088810033692,-133.6515185360637,-157.8829562341407,-149.6992688298636,-185.0175854881428
155,-141.4274380479151,-28.38183175602907,-144.29777814066333,-37.14736017588642,-129.2029230505808
156,-145.38019608939626,-119.34975696459678,-137.11032684506156,-140.41546423410549,-59.781948691286054
157,-163.73533978146838,-127.662643201704,-145.34073690387007,-140.72066622056377,-13.218679377058285
158,-146.6564370961572,-195.4996920412638,-157.4714036739268,-175.13549942186268,-137.50464461503185
159,-174.72358117480107,-173.65305885252408,-53.590569747021085,-115.42565751460144,-128.8522257177167
160,-122.72075996855222,-140.33484521198938,-153.19031906400124,-152.57874045076642,-14.682686653451825
161,-27.441458148734533,-192.0375479709512,-27.076610416935026,-119.21757025377676,-189.47080623602932
162,-139.58631179358164,-177.62014750269412,-161.30679972602306,-116.71220977007894,-24.852632939309856
163,-271.8762954340725,-144.22196191266005,-121.62095736164244,-192.81852800578812,-133.69314226142342
164,-111.52394662476516,-58.33526170962304,-121.79481035214432,-148.02516742104075,-162.96848185627147
165,-115.86818692693248,-128.04268333641198,-137.3237491325181,-141.00335108014048,-109.09028146829507
166,-130.8995720986339,-161.060069657201,-17.301644254630844,-169.7883391233458,-180.84774884686965
167,-109.56605653219422,-122.27660949360336,-135.3387737868415,-144.57115567285595,-14.465036887663556
168,-154.01438716224365,-124.11963254318012,-222.80650605960537,-128.57073943371068,-139.61933560338178
169,-121.45815917961156,-179.30776256623707,-141.8058822440795,-142.95253397301465,-141.57823815656488
170,-66.069981409631,-169.32891197120728,-161.81846687374855,-131.9619796702287,-40.113860071150995
171,-149.32712395522344,-59.50050721580983,-133.7714698404273,-114.14200166613492,-207.35651471217375
172,-186.8568587447999,-183.97272722030408,-136.90031712326478,-31.839923103221665,-52.590633878542654
173,-239.8165143377632,-119.80602668375866,-125.81024307342436,-178.2558912118386,-148.45014757415714
174,-116.0010207827266,-121.35826425327372,-138.50499532440023,-177.68622608194585,-146.7317316906582
175,-150.75196439032698,-20.405476029205147,-156.61880114211797,-143.56391174230615,-123.2945823031493
176,-54.29386065399106,-127.36051418192233,-151.24244622379894,-139.08599643607283,-20.416543580151693
177,-10.10230890466778,-164.87067524592345,-211.7544710395188,-178.39218740661937,-120.03229592958937
178,-169.11900685713198,-156.69139600549954,-125.10602185967976,-125.29608986512436,-145.8571929042969
179,-165.11633265750348,-141.92468718446628,-124.1527284642906,-224.475010474508,-144.5802089094146
180,-166.14661167227882,-123.83302260702756,-128.87118990302884,-156.25274697524625,-32.05426033973028
181,-204.56069505985684,-155.97023105958343,-261.06527189187364,-157.90791634310443,-31.50359573566567
182,-119.06922953730611,-146.01035947947764,-153.4621953189497,-11.538276579586356,-179.41640262250598
183,-22.819939438646745,-160.51351653264334,-116.0106648920266,-177.7127407183694,-155.96677348177585
184,-148.33815497705712,-15.62931713838472,-157.86810339935954,-164.37530395383956,-151.43177905345848
185,-13.771770825683276,-13.220208892566598,-139.18664181506338,-144.04862264810896,-157.9327536047962
186,-162.84599550496216,-12.11298781127291,-255.8592241234226,-137.1885850789568,-154.170267563614
187,-146.78679879189391,-180.2486299459868,-165.51440314435874,-118.1413897380544,-132.08908448791382
188,-205.13314136390528,-135.28512009164604,-169.1941581580744,-127.32462854097682,-131.4717364497131
189,-140.6247949639053,-22.7357560591707,-192.44153788288665,-122.64846039450252,-162.1323751322264
190,-139.73146353191845,-153.92404826326663,-147.20791216239638,-142.63763381634502,-205.18584948874394
191,-168.5690745127652,-138.00005614595904,-192.65093195107403,-122.99096346523092,-25.019675527105274
192,-170.27748528734958,-155.08505427255724,-142.40521745806257,-119.20062339936231,-134.9685015742573
193,-119.82801888868056,-137.20897657223958,-157.20664219540717,-156.9499188430364,-178.1355983678432
194,-140.9693541709848,-159.58365504317527,-143.67758643674702,-150.42821732226642,-115.99686105838143
195,-149.68686204263605,-166.1903119477048,-177.30623426855607,-129.21074380765262,-161.38009748793715
196,-126.5799009351239,-123.82010001473958,-291.50211634494934,-143.03128707046815,-112.66086560611265
197,-21.851119701533968,-170.88091856655063,-128.35687938522258,-156.5184355145972,-159.01879845199764
198,-112.4280784255653,-137.04564956245474,-127.7624665651644,-128.41113947481205,-200.5434436870094
199,-184.16716361102084,-233.172805105595,-112.969320797348,-139.74917036687822,-112.1252561407624
200,-139.49738733368764,-128.09022127596108,-131.85109137426753,-16.175644214451918,-72.22833235898455
201,-23.73395539366204,-196.7371795530583,-26.70193148497421,-123.18604252400466,-156.5278195487637
202,-152.70250242186916,-111.59906270101592,-117.44502374746271,-227.7298921501689,-137.82039027615662
203,-155.3426378379623,-206.45361792963223,-141.20459677174864,-50.49885623991186,-132.792494215466
204,-25.92969194925017,-125.03078233822032,-142.81266689635362,-150.61510715365364,-17.81825882269441
205,-174.8490829205359,-19.76996083581028,-158.58233247360707,-118.24986647917316,-16.528822447552816
206,-159.54834000699455,-149.66640710672175,-160.89342721682053,-167.91026503150516,-122.08967334897562
207,-129.445905738388,-136.82414864966833,-146.07576882165944,-163.36302008478555,-155.11293134549166
208,-138.53592042164934,-132.8743419799721,-168.6096883761379,-122.16486668390851,-159.61025343894366
209,-199.42781615092767,-136.9334688218787,-115.23042350888818,-26.323237958297494,-136.41645675371265
210,-185.1949370994626,-132.17672643047274,-215.4691702100856,-228.73839344671305,-134.74172997257946
211,-80.45866546183612,-162.86245424834186,-236.3163761105211,-145.54197307935246,-202.499376091027
212,-184.2590873620714,-158.0422066192865,-186.6504226327987,-53.37872393065819,-114.81481913387522
213,-205.71796139185648,-147.30987813109817,-137.64946676139294,-15.20712272422962,-154.44450364761587
214,-211.1709909650698,-195.7216886300872,-38.0662669334966,-119.18451157498993,-155.53051862825177
215,-177.59357002459512,-129.3934455020542,-114.6540786927258,-118.54651259002496,-19.632217444562865
216,-156.85004591229128,-185.32273715482148,-154.1440365596281,-138.4113736132511,-229.69276222333266
217,-137.99955338865635,-136.3349831443136,-160.67107318006248,-116.85696808269245,-158.0522979440035
218,-132.48300886131693,-134.81572808414867,-19.636513319873234,-113.21612523179674,-233.59929928354953
219,-256.4359201037327,-218.41975733510088,-158.84361221327666,-129.1478278494737,-141.58261258397505
220,-88.07440901077663,-148.4388563312555,-138.9144670159718,-123.33806109921908,-147.77826038435913
221,-115.80600516243886,-15.801357252152537,-136.20273979246826,-117.70198524434936,-116.11428571007045
222,-191.2233231060736,-154.30875908985635,-180.73642189765653,-147.32534046794854,-205.9793642887366
223,-118.57451633469536,-15.06821369735898,-138.96017901736133,-141.95197197898148,-159.31736742233434
224,-128.55798229100054,-182.2854232505016,-173.72264522358077,-137.8070280329351,-118.07018272470899
225,-175.23582698071007,-53.54797003266075,-155.52232819948858,-119.4562027123357,-183.10214225617128
226,-151.49841493335222,-118.99587677720952,-130.38100799578976,-149.997153848913,-119.69860717454246
227,-115.12893940305248,-140.75429835847115,-13.154726900458074,-119.01784961443354,-119.37598278281443
228,-162.19525946677592,-191.9607059954152,-114.86025788725492,-222.55116233566145,-21.849939714339094
229,-138.10891398978416,-189.2008782317976,-148.87040140574396,-141.6725707643257,-187.47076566514772
230,-187.3459427903582,-123.31418961791306,-19.44277885276523,-116.06116294980852,-120.84699678076078
231,-123.81751689003416,-121.22962933695462,-192.9243449036873,-152.5487070276942,-115.68344133896144
232,-159.04516776080357,-152.83887287160883,-201.5933409222607,-160.56237833829354,-136.94944313360514
233,-167.22585860459424,-158.33298165526602,-144.50276184900054,-129.76787141120954,-140.57882340558007
234,-135.5614181892804,-127.08515601319,-118.71420873976568,-177.83857278690527,-135.24611343570547
235,-189.2130244802514,-184.97589880251897,-164.8869428883337,-132.81836595686255,-200.38727180108262
236,-122.06704302421832,-62.28954541130613,-17.399623167559962,-291.72023343532146,-112.43270673126605
237,-112.40274670029272,-155.21823727179026,-121.36480722096604,-119.73032108045804,-112.28705472747819
238,-259.49729811848886,-142.1498753470094,-38.15878434358719,-169.48406155099315,-145.77676208660165
239,-138.504563234667,-128.8600462995946,-159.9660581042863,-13.588981214941054,-118.00811220852734
240,-138.12633042006874,-111.56453366828065,-175.80207994538495,-122.40733114378789,-206.84788574912716
241,-14.625269227748214,-15.966944926796542,-148.92191133761895,-159.56696599287795,-178.72470496838594
242,-175.3025298650174,-16.01573302606323,-164.30380266918033,-124.72428355612928,-128.40572074695342
243,-138.8214386335595,-122.80961382949286,-149.65836894492847,-139.30713089730918,-144.92272655058005
244,-125.9657141958491,-205.10505843423704,-115.01642001853638,-155.64973595791008,-183.00635489104144
245,-144.68427703304587,-244.22572124285023,-160.5671863755676,-139.72613760376416,-116.49050237801765
246,-128.3114003718969,-177.88013712899112,-212.07007943514503,-10.030972289604984,-135.85813954510598
247,-142.90216744860714,-181.81331968025395,-135.97262516103368,-124.28806249930103,-25.320168380473387
248,-157.17618291412364,-155.3374209120735,-117.67344038706028,-148.91986055657253,-123.25252565566377
249,-114.54474293539592,-176.9947686505136,-36.09400684486376,-121.64685894254332,-170.87956447395305
250,-151.6173404318074,-164.54622003027615,-203.85833628067843,-126.50683500359008,-140.4763620449495
251,-19.066440995730314,-173.77416725965764,-136.38859789500586,-117.13797058124716,-139.08366700788085
