episode,run_0,run_1,run_2,run_3,run_4
204,-204.29866879407848,-58.99022696123801,-134.28786695373353,-61.601568000216304,-52.07994168820981
205,-200.8969458855552,-59.74277545565167,-147.95137988446965,-117.91148572898116,-106.80258513627378
206,-139.55109739545654,-128.49461210162815,-119.53004693528092,-86.31441393075251,-123.49158706216673
207,-70.71021984006477,-134.82144357339368,-61.3737827482283,-46.0474307583152,-80.12253569552078
208,-62.733967998036114,-124.52446578822357,-137.03496423563888,-63.24196780524593,-115.42202454263087
209,-68.56108269168952,-155.2212225802539,-102.30665350503372,-138.20916362793542,-50.91580763776449
210,-46.81215372198229,-55.79541552973785,-196.32916978523423,-108.57037974141956,-135.07700570533765
211,-184.5940999330543,-73.98986114303932,-121.57771562591763,-133.0488738152901,-64.15392478592965
212,-65.67200665426122,-63.64680216139941,-97.50329561215788,-53.210976824390784,-110.85165666779339
213,-62.06450224283668,-123.06355195290186,-202.826458794462,-49.83741047445467,-57.651461504617615
214,-131.45800425726694,-149.71264633257942,-61.22118083035039,-61.18755558081345,-121.89299638231564
215,-197.51502623372767,-62.62594848959455,-66.02521853174026,-75.68335325857603,-48.702435978535924
216,-240.6366062349012,-145.92516297778943,-111.72821950283272,-60.90744060105505,-70.2444365014471
217,-64.73667489778825,-219.2848980185091,-198.6666943453921,-105.43251514995347,-51.81311962716884
218,-64.90775823529478,-99.3071279234081,-63.80695633696573,-90.55884716668632,-54.16303797943982
219,-59.204882674984006,-71.25102492428101,-59.93090331485311,-135.91309148030135,-118.2576755295898
220,-60.990404753410814,-49.90514684027144,-103.09994253957623,-137.9669113157298,-124.69180529512064
221,-61.31791799421511,-48.04035229439715,-66.63991123626035,-51.870169897467626,-64.72665173951097
222,-73.30885003948637,-76.29924558807171,-141.512244486356,-110.64255333032932,-66.95998052609107
223,-212.83884925520712,-49.08914809059436,-113.59110240028946,-71.13114779334681,-120.24795744695386
224,-145.76602253676162,-98.63349558370037,-65.43329412836603,-62.862458158172025,-109.65315279237329
225,-114.96410229255198,-131.25734228475844,-111.86978968142394,-128.1342715016526,-52.38434166426434
226,-72.96007060045011,-124.91286062839194,-47.80550148674363,-87.98268845922675,-267.52255976583956
227,-137.11237338286736,-59.02088841061337,-171.4460548270954,-122.64090647924552,-94.25066297914486
228,-214.9021053968626,-53.27541715739014,-60.51495733327205,-100.83603847195698,-106.31183078912788
229,-63.16931262025431,-53.10549195155317,-115.16130427057352,-62.88709711102019,-70.43232337664017
230,-208.00520699790687,-113.84052828866577,-104.81912491912024,-105.12869950724576,-49.267075775006575
231,-81.14301397062323,-118.64410632557944,-65.13982844221707,-110.15013501736428,-65.05917792707075
232,-56.73328088386592,-58.883751514794255,-135.76061198705122,-47.56931281481901,-111.65933714015496
233,-61.50516372103569,-142.15065162203945,-94.67175078530956,-25.91090078815169,-93.98633950354439
