episode,run_0,run_1
356,-60.08753091792123,-181.6605919687484
357,-110.27327673027304,-166.21862947968802
358,-91.84422353828214,-87.99299283472806
359,-353.0766771984601,-142.11673022363976
360,-191.46109868428545,-333.84946764971795
361,-211.1052358954166,-46.216647197774776
362,-289.3873282171387,-108.72672299663766
363,-136.21659905122496,-219.91118246320048
364,-384.7687478191725,-279.4771734291849
365,-220.017047333599,-339.97635819600913
366,-144.48402637768868,-239.9670300001811
367,-153.1167141905891,-195.58278992782903
368,-66.04619489903858,-338.63130337662557
369,-349.7269558646714,-233.66613901369126
370,-290.2927434266437,-290.66512763791053
371,-287.5855466796668,-81.96931341984049
372,-299.99057068417426,-117.86416297731581
373,-53.22602512905794,-204.38401327904566
374,-232.0132328204989,-80.11300007144322
375,-112.17961940201717,-338.73327864623064
376,-39.029493344519096,-192.58244842699062
377,-354.9724214523614,-151.44680260449712
378,-134.5233564014953,-197.3182959300075
379,-131.96417770050883,-354.0327154837974
380,-342.3004296233103,-343.240750515618
381,-46.70168997686464,-290.6782215665701
382,-146.7029078192718,-297.0103568687184
383,-51.90559813415083,-393.45489914614853
384,-251.7746749689694,-307.65303545285065
385,-184.0497010616839,-325.0876358729846
386,-259.1333318898394,-292.8082635704146
387,-251.55194711516864,-386.82053262826736
388,-285.5357929566691,-85.22290114871936
389,-255.8641441913556,-265.5377468374286
390,-123.42931464917696,-75.66103985508073
391,-359.6671617741768,-68.9118105755826
392,-211.24208047925737,-389.1822413618192
393,-355.4878433549908,-77.1180238808056
394,-179.63328172841162,-236.33378136973892
395,-374.6096549431244,-261.5425116481471
396,-261.9198335540349,-72.56272047025423
397,-210.93375339490711,-100.59086235987336
398,-253.29850680349523,-395.0410672679354
399,-321.5284887224192,-382.46057458493607
400,-135.1922842474176,-70.66208470757127
401,-111.87842323667192,-173.65300086706327
402,-129.7990275947878,-203.5750110682316
403,-92.6663885088129,-296.11259944461364
404,-265.8050081415284,-295.8062633889209
405,-337.3101839143192,-340.2546078538203
406,-352.21105299509867,-163.44422521875822
407,-238.0187426935003,-225.78192201790557
408,-47.76415755347533,-322.41738081285285
409,-85.84092865979191,-253.84171024730097
410,-133.48776585126856,-161.9832166397249
411,-81.51154675371333,-307.8998662932036
412,-207.5636126703804,-174.49517252407114
413,-79.1122352276953,-218.65136482097776
414,-220.16057268964548,-329.943121578177
415,-192.06286364351672,-277.04955118393497
416,-322.08775381880054,-415.10616227316854
417,-337.8297590758676,-392.3647988838819
418,-49.669207695083216,-165.51881211185994
419,-64.97066305396865,-219.76179328441748
420,-423.0786634126512,-220.1499661432004
421,-339.3819422684327,-338.8370564178127
422,-248.83368656746424,-175.6576538505827
423,-223.92603246650825,-183.20520398697408
424,-128.6493041283838,-226.22097546924184
425,-313.9868551216312,-114.97882293724486
426,-195.29918135706916,-285.4139055432524
427,-253.23388084228924,-119.21433120573417
428,-224.73507006203047,-186.08461206964972
429,-245.54998565777748,-176.16827081930063
430,-114.82767011711914,-200.01782370733733
431,-215.29798519963796,-389.6833279048463
432,-95.55656538927433,-195.90251059617967
433,-207.87276881409016,-71.8896278699464
434,-203.9505231579088,-76.86624407690462
435,-188.1444919547669,-226.83783257437418
436,-176.08603830170532,-340.1390136946989
437,-217.64816232515807,-101.85773287523119
438,-107.92590940651058,-385.27339179341266
439,-182.7335409036434,-293.486087232919
440,-396.0812280910476,-382.96387491384263
441,-138.31775781008776,-299.9177504452325
442,-171.37068322410158,-313.3151738522012
443,-230.24193236642708,-187.29959017532656
444,-175.70744138241912,-317.23623945366603
445,-205.1538128443264,-199.23697494024483
446,-198.9883411738896,-192.6513750561468
447,-372.6971836304055,-202.3685818925074
448,-233.3247178865883,-120.11833386897865
449,-112.67318380135866,-316.6962206785708
450,-147.9046476266061,-319.5644995630608
451,-235.30678337385345,-55.17131526567654
452,-363.28774673591874,-304.0902445087846
453,-193.8759214757725,-131.23273325157746
454,-257.894676263314,-82.34525817693094
455,-232.1090276895725,-316.66617547702
456,-216.40946694549092,-323.7816695499262
457,-68.74833439867882,-271.5066270002284
458,-95.65777280439568,-321.92482170680523
459,-111.1919613859074,-202.75689162989096
460,-226.04307022331716,-314.7865138591132
461,-361.922437640737,-311.90076715330815
462,-260.55272428994834,-307.5332766335097
463,-147.3789094117382,-82.81048635526528
464,-288.2976352863159,-373.39120975295936
465,-260.2423971463048,-250.61265159818606
466,-352.12158459453207,-119.98021414547527
467,-201.7240781489105,-139.7739714177305
468,-245.7469061146603,-181.60990912406533
469,-58.55052461851211,-196.3358111290479
470,-261.85977728574835,-183.8750914299851
471,-212.08093761864987,-206.66542119583104
472,-235.82835848623395,-123.25969073365492
473,-374.74620801336846,-304.89652181974805
474,-324.8937419776333,-297.47389889335227
475,-229.78037944903315,-306.4423449329743
476,-45.1567683319447,-283.20206783935987
477,-220.1452824254758,-195.74606814432437
478,-180.21258093167643,-439.70454687432857
479,-241.3347347161015,-311.9720359395618
480,-161.81760990355704,-308.2038128335775
481,-307.3600935160964,-187.41749531335483
482,-288.4041144257358,-292.31027526068726
483,-199.36972286656243,-268.262982884163
484,-265.73464311317025,-276.4120852718913
485,-412.3474225151102,-219.46727855757933
486,-268.79187164921586,-312.729318916905
487,-333.96228695582613,-297.35097715113136
488,-39.46717217925674,-260.64557564161044
489,-256.7112844908217,-76.24573011943812
490,-188.9884660547205,-333.62269245234563
491,-246.3134842950623,-419.9495365499096
492,-179.3215972606859,-369.1674856517048
493,-217.69644157912265,-93.82587751647185
494,-268.40063253526284,-268.044672284398
