episode,run_0,run_1
258,-62.95072005053629,-33.69748052345299
259,-31.668187836985823,-105.14487223499361
260,-71.54545200306018,-39.871563243042786
261,-68.47764042383773,-65.07768476020902
262,-33.85838322520077,-74.03006308677777
263,-207.2784941761194,-134.7646564089662
264,-31.95808608333538,-166.032017633217
265,-62.497997801896446,-73.85088464385555
266,-70.63997511327314,-122.78610952328322
267,-94.6379085047904,-64.04200469865273
268,-48.31649842820804,-49.150800235888
269,-65.1653531875388,-71.02213272012321
270,-44.75200263426454,-163.89075679948672
271,-156.96441161717786,-181.0243030542896
272,-74.03539354786577,-35.67414463968077
273,-82.10101395144954,-115.33731460670785
274,-71.75906552629618,-78.45425238889734
275,-33.61649632810692,-73.78120567283281
276,-39.44055192462099,-46.77100066877297
277,-56.1127048088884,-76.67637487436163
278,-73.92369300833762,-64.41571898055439
279,-42.29096577015795,-197.5328953205867
280,-83.46593219696018,-109.66436680686157
281,-42.522315059268806,-63.612547363674096
282,-39.83097932339498,-65.67617112314895
283,-32.23143272245437,-72.28028523820196
284,-92.96186624469658,-47.897540745641926
285,-70.9557146257827,-41.59480474034247
286,-166.41308934395946,-53.723928792926955
287,-201.5026885363003,-68.22871840660109
288,-69.89845370766545,-67.48758954181753
289,-213.02589211498608,-67.938099153119
290,-36.43239676072061,-37.63390345213668
291,-37.38283738709693,-72.27617890136108
292,-80.60055475126853,-77.06914739360029
293,-37.01797332324507,-69.58571235986565
294,-32.476461720939675,-64.76274524060861
295,-55.2586997623449,-41.80068890570928
296,-39.849275957793694,-48.363895023157085
297,-40.51377392452844,-70.63874937492733
298,-69.95156075386767,-71.68682726348041
299,-33.38115198515008,-71.38585948392661
300,-66.26400073723703,-72.37999756366987
301,-58.35579446187043,-195.53113693903884
302,-34.82002462249314,-36.28815082941275
303,-72.7401960849041,-71.61030149814204
304,-77.51410921591238,-45.01382207863328
305,-72.67816569979045,-69.99760020661522
306,-14.435149764156126,-72.39770052090891
307,-68.48449584975893,-64.97480375082014
308,-72.03458655015093,-41.76526072514378
309,-70.5148060603472,-47.77756581326163
310,-38.44434077235873,-54.948494589534036
311,-35.168466560055,-81.96051754860758
312,-65.57248642831787,-66.86730804762368
313,-69.11212078915268,-38.72102263586561
314,-72.32312937051978,-66.2018817441029
315,-69.44540076372482,-36.53047361543628
316,-73.7113804293631,-19.440609342165505
317,-12.9541621507301,-70.31764789824012
318,-75.12024124146816,-34.26737749619038
319,-53.782842917808566,-53.74201604981523
320,-84.73417770868112,-72.32587513752799
321,-50.72618944692722,-70.03683961185004
322,-78.1229779879684,-69.72474290246319
323,-66.39508740527472,-78.52105212680519
324,-81.09360998772326,-53.45666316801152
325,-71.92875392183444,-12.565868201492114
326,-72.37188582300509,-65.36098381579146
327,-85.74557430071746,-42.6786831405711
328,-70.88065908476167,-32.01222159880851
329,-196.44330883634643,-60.9272876603282
330,-40.25779432997968,-32.817693817114424
331,-68.42073862997626,-35.48478174537324
332,-30.334865490565512,-43.76251854339837
333,-204.99820045936815,-39.69066109769876
334,-33.92382120629999,-73.08512554402677
335,-63.43404215147614,-38.341919306639106
336,-66.07625863667434,-68.1454070395325
337,-42.65436268016664,-68.01932538003962
338,-59.5192180983835,-32.69999132207981
339,-35.03743440352061,-47.85391565998077
340,-35.65336856462898,-78.4010480046249
341,-69.8303165729553,-64.38513084163097
342,-34.2448194636534,-68.98194310022718
343,-66.12417886574741,-33.407441290245096
344,-34.14656371152189,-50.14208744251559
345,-15.766958258709025,-47.19416198746891
346,-66.39488373190312,-110.73851805767559
347,-66.91822751623451,-67.26890160896664
348,-64.76362780012582,-34.57741736421737
349,-52.20057666380067,-66.00341304490948
350,-125.48159223944518,-61.20420513419547
