step,run_0,run_1
407552,-2.6737891755998136,-2.698205669596791
409600,-2.673465880379081,-2.6975256726145744
411648,-2.671338790655136,-2.6992972172796725
413696,-2.672627356275916,-2.698702158778906
415744,-2.672337938845158,-2.7004659194499254
417792,-2.672757595777512,-2.701604237407446
419840,-2.669823080673814,-2.7042159475386143
421888,-2.6654006622731687,-2.703404024615884
423936,-2.665229470655322,-2.7031183391809464
425984,-2.6653871171176435,-2.7022760532796384
428032,-2.664793657138944,-2.7043519213795664
430080,-2.6647219218313696,-2.703566648811102
432128,-2.6637287478894,-2.701166968420148
434176,-2.664321595430374,-2.7026667799800634
436224,-2.661940534040332,-2.703199489414692
438272,-2.6620964094996453,-2.7037797566503285
440320,-2.659902856126428,-2.703335298970342
442368,-2.660546360909939,-2.7023830473423005
444416,-2.660311672464013,-2.7012215197086333
446464,-2.660878276452422,-2.698717226088047
448512,-2.659540607780218,-2.699151103571057
450560,-2.659694355353713,-2.699251662567258
452608,-2.660558845847845,-2.6967930387705565
454656,-2.6578803420066834,-2.6950806893408297
456704,-2.657548401504755,-2.6950868386775255
458752,-2.6571901448071005,-2.6930857371538877
460800,-2.6573856834322216,-2.6932044800370933
462848,-2.6582678589969877,-2.6944802299141886
464896,-2.6596393689513205,-2.6929907519370317
466944,-2.661047408729792,-2.6920923091471196
468992,-2.662443979457021,-2.694106677547097
471040,-2.661862320825457,-2.6924532655626536
473088,-2.6597207825630904,-2.6938837837427854
475136,-2.659351781755686,-2.6942571584135293
477184,-2.659201733395457,-2.693210345134139
479232,-2.6571999195963145,-2.6922093849629163
481280,-2.657105919346213,-2.6926229000091553
483328,-2.6567080594599246,-2.6920211747288705
485376,-2.656954392045736,-2.6926575265824795
487424,-2.6551255237311127,-2.69329053722322
489472,-2.654328486695886,-2.6944066662341357
491520,-2.6516820758581163,-2.691636973619461
493568,-2.650270213931799,-2.6905005533248185
495616,-2.649709088727832,-2.690010904893279
497664,-2.647125305607915,-2.6911972992122175
499712,-2.644567378237844,-2.693183655664325
501760,-2.6450961627066136,-2.696154257655144
503808,-2.6473110500723123,-2.6976820901036263
505856,-2.646432375535369,-2.6995898257941007
507904,-2.6450544230639936,-2.6984499268233777
509952,-2.6428040243685245,-2.6981259908527138
512000,-2.642323350161314,-2.6982237342745066
514048,-2.6394004963338373,-2.6976779621094464
516096,-2.638505142182112,-2.6941316232085226
518144,-2.6369958478957414,-2.6936758290976286
520192,-2.6354038547724485,-2.694745810702443
522240,-2.636060668900609,-2.691290159896016
524288,-2.634655999392271,-2.6898244220763443
526336,-2.6342009995132685,-2.689751932397485
528384,-2.635431542992592,-2.6899381570518015
530432,-2.635979839041829,-2.6875404987484215
532480,-2.637715985625982,-2.6885928377509116
534528,-2.63575492054224,-2.6878604952245952
536576,-2.635126874223352,-2.687785867601633
538624,-2.634917872399092,-2.687101563066244
540672,-2.636674229055643,-2.685460541024804
542720,-2.6365710690617563,-2.685507821291685
544768,-2.637927319854498,-2.6843367043882607
546816,-2.639114085957408,-2.684665210917592
548864,-2.637900141999125,-2.68519972153008
550912,-2.63866662196815,-2.684118660911918
552960,-2.6393473755568264,-2.6829647097736595
555008,-2.636019007861614,-2.6826630249619483
557056,-2.632679968327284,-2.6820669610053303
559104,-2.628813275322318,-2.6805018335580826
561152,-2.625635362043977,-2.678306483849883
563200,-2.62335125990212,-2.6787893902510405
565248,-2.6216885965317487,-2.6777368146926164
567296,-2.621313214302063,-2.6754456367343664
569344,-2.620158562809229,-2.675323724374175
571392,-2.6188382882624865,-2.673902354761958
573440,-2.617991284653544,-2.6711180418729783
