,global_step,episode_reward,actor_loss,critic_loss,entropy_loss,KL_approx
0,59834,500.0,,,,
1,60334,500.0,,,,
2,60834,500.0,,,,
3,61334,500.0,,,,
4,61440,,-0.0007995999389095232,0.001516125116540934,-30.479113501310348,0.003589100611338836
0,61834,500.0,,,,
1,62334,500.0,,,,
2,62834,500.0,,,,
3,63334,500.0,,,,
4,63488,,-0.0009226145048160106,0.001067053891517844,-30.28073412179947,0.0019523563707252833
0,63834,500.0,,,,
1,64334,500.0,,,,
2,64834,500.0,,,,
3,65334,500.0,,,,
4,65536,,-0.0011623900791164488,0.0007555293052519119,-29.435856556892396,0.004227127387957807
0,65834,500.0,,,,
1,66334,500.0,,,,
2,66834,500.0,,,,
3,67334,500.0,,,,
4,67584,,-0.0020734387275297196,0.0005095673119683397,-28.81274484395981,0.0023915324814538508
0,67834,500.0,,,,
1,68334,500.0,,,,
2,68834,500.0,,,,
3,69334,500.0,,,,
4,69632,,-0.00260667840775568,0.0003545947685722695,-29.658196765184403,0.004343378783414664
0,69834,500.0,,,,
1,70334,500.0,,,,
2,70834,500.0,,,,
3,71334,500.0,,,,
4,71680,,0.00013580728264059872,0.0002400091554818573,-28.959263867139818,0.0016771665745409336
0,71834,500.0,,,,
1,72334,500.0,,,,
2,72834,500.0,,,,
3,73334,500.0,,,,
4,73728,,-0.002556808921508491,0.00018513997550257956,-27.029798287153245,0.0051940162275286635
0,73834,500.0,,,,
1,74334,500.0,,,,
2,74834,500.0,,,,
3,75334,500.0,,,,
4,75776,,-0.0015816945931874215,0.0001251337097613714,-28.480476236343385,0.004962828305531275
0,75834,500.0,,,,
1,76334,500.0,,,,
2,76834,500.0,,,,
3,77334,500.0,,,,
4,77824,,-0.0019531615369487556,7.714779574143903e-05,-28.095801717042924,0.0058765693187297074
0,77834,500.0,,,,
1,78334,500.0,,,,
2,78834,500.0,,,,
3,79334,500.0,,,,
4,79834,500.0,,,,
5,79872,,-0.0041846716514555736,8.360770388549099e-05,-27.68148155808449,0.005225870608364857
0,80334,500.0,,,,
1,80834,500.0,,,,
2,81334,500.0,,,,
3,81834,500.0,,,,
4,81920,,-0.0036938976962119343,4.936582814991652e-05,-26.29184101819992,0.004551675358561625
0,82334,500.0,,,,
1,82834,500.0,,,,
2,83334,500.0,,,,
3,83834,500.0,,,,
4,83968,,-0.001060998285538517,4.179278238893858e-05,-24.78005947470665,0.0023122034222012645
0,84334,500.0,,,,
1,84834,500.0,,,,
2,85334,500.0,,,,
3,85834,500.0,,,,
4,86016,,-0.0012028724886476994,2.6167807516230823e-05,-24.494430136680602,0.002336228239846605
0,86334,500.0,,,,
1,86834,500.0,,,,
2,87334,500.0,,,,
3,87834,500.0,,,,
4,88064,,-0.004539367368852254,1.8825386109710963e-05,-22.960108464956285,0.002498016218748944
0,88334,500.0,,,,
1,88834,500.0,,,,
2,89334,500.0,,,,
3,89834,500.0,,,,
4,90112,,-0.0018034155364148319,1.4522215528245397e-05,-22.371779453754424,0.0022274420744849976
0,90334,500.0,,,,
1,90834,500.0,,,,
2,91334,500.0,,,,
3,91834,500.0,,,,
4,92160,,-0.0016359252796974034,1.3634123774863838e-05,-22.679403442144395,0.0039944060113768385
0,92334,500.0,,,,
1,92834,500.0,,,,
2,93334,500.0,,,,
3,93834,500.0,,,,
4,94208,,-0.0009156115585938096,7.943579458924432e-06,-21.85657309293747,0.0019239210850486188
0,94334,500.0,,,,
1,94834,500.0,,,,
2,95334,500.0,,,,
3,95834,500.0,,,,
4,96256,,-0.001022290319087915,8.089860199333997e-06,-20.21126063168049,0.003313465243650171
0,96334,500.0,,,,
1,96834,500.0,,,,
2,97334,500.0,,,,
3,97834,500.0,,,,
4,98304,,1.6365956980735064e-05,6.042008462259219e-06,-20.539446410536765,0.0020635503548703583
